77: 683.416321, 808.873047 avg, 0.000000 rate, 2.559432 seconds, 4928 images
78: 677.131104, 795.698853 avg, 0.000000 rate, 2.652186 seconds, 4992 images
79: 668.121643, 782.941162 avg, 0.000000 rate, 2.617010 seconds, 5056 images
80: 658.200745, 770.467102 avg, 0.000000 rate, 2.643852 seconds, 5120 images
81: 653.834595, 758.803833 avg, 0.000000 rate, 2.376622 seconds, 5184 images
82: 640.106384, 746.934082 avg, 0.000000 rate, 2.621168 seconds, 5248 images
83: 634.660706, 735.706726 avg, 0.000000 rate, 2.590125 seconds, 5312 images
84: 625.993408, 724.735413 avg, 0.000000 rate, 2.727368 seconds, 5376 images
85: 615.996643, 713.861511 avg, 0.000000 rate, 2.715191 seconds, 5440 images
86: 606.642090, 703.139587 avg, 0.000000 rate, 2.636611 seconds, 5504 images
87: 598.262878, 692.651917 avg, 0.000000 rate, 2.430710 seconds, 5568 images
88: 589.114685, 682.298218 avg, 0.000000 rate, 2.617038 seconds, 5632 images
89: 579.669006, 672.035278 avg, 0.000000 rate, 2.586435 seconds, 5696 images
90: 567.344116, 661.566162 avg, 0.000000 rate, 2.515859 seconds, 5760 images
91: 950.799683, 690.489502 avg, 0.000000 rate, 3.890041 seconds, 5824 images
92: 933.576050, 714.798157 avg, 0.000000 rate, 4.103011 seconds, 5888 images
93: 915.109192, 734.829285 avg, 0.000000 rate, 4.036594 seconds, 5952 images
94: 891.825378, 750.528870 avg, 0.000000 rate, 3.884566 seconds, 6016 images
95: 869.670471, 762.443054 avg, 0.000000 rate, 3.997786 seconds, 6080 images
96: 844.271118, 770.625854 avg, 0.000000 rate, 4.057190 seconds, 6144 images
97: 818.232361, 775.386475 avg, 0.000000 rate, 3.860039 seconds, 6208 images
98: 791.298950, 776.977722 avg, 0.000000 rate, 3.810839 seconds, 6272 images
99: 766.567627, 775.936707 avg, 0.000000 rate, 3.933333 seconds, 6336 images
100: 735.888428, 771.931885 avg, 0.000000 rate, 4.030109 seconds, 6400 images
101: 627.347290, 757.473450 avg, 0.000000 rate, 3.332678 seconds, 6464 images
102: 600.317017, 741.757812 avg, 0.000000 rate, 3.320688 seconds, 6528 images
103: 578.297363, 725.411743 avg, 0.000000 rate, 3.190504 seconds, 6592 images
104: 554.897278, 708.360291 avg, 0.000000 rate, 3.183742 seconds, 6656 images
105: 530.494690, 690.573730 avg, 0.000000 rate, 3.210340 seconds, 6720 images
106: 509.470947, 672.463440 avg, 0.000000 rate, 3.322764 seconds, 6784 images
107: 484.863190, 653.703430 avg, 0.000000 rate, 3.332443 seconds, 6848 images
108: 460.619080, 634.395020 avg, 0.000000 rate, 3.444171 seconds, 6912 images
109: 436.984070, 614.653931 avg, 0.000000 rate, 3.258641 seconds, 6976 images
110: 416.040771, 594.792603 avg, 0.000000 rate, 3.190408 seconds, 7040 images
111: 191.746948, 554.488037 avg, 0.000000 rate, 2.228418 seconds, 7104 images
112: 181.863556, 517.225586 avg, 0.000000 rate, 2.156417 seconds, 7168 images
113: 174.521774, 482.955200 avg, 0.000000 rate, 2.226255 seconds, 7232 images
114: 165.356750, 451.195343 avg, 0.000000 rate, 2.266658 seconds, 7296 images
115: 158.846680, 421.960480 avg, 0.000000 rate, 1.847229 seconds, 7360 images
116: 151.332489, 394.897675 avg, 0.000000 rate, 2.096784 seconds, 7424 images
117: 144.007751, 369.808685 avg, 0.000000 rate, 1.974827 seconds, 7488 images
118: 139.258133, 346.753632 avg, 0.000000 rate, 2.043787 seconds, 7552 images
119: 133.012375, 325.379517 avg, 0.000000 rate, 2.164741 seconds, 7616 images
120: 128.088089, 305.650360 avg, 0.000000 rate, 2.101733 seconds, 7680 images
121: 358.090240, 310.894348 avg, 0.000000 rate, 4.483859 seconds, 7744 images
122: 339.768005, 313.781708 avg, 0.000000 rate, 4.455483 seconds, 7808 images
123: 321.523804, 314.555908 avg, 0.000000 rate, 4.424714 seconds, 7872 images
124: 304.954987, 313.595825 avg, 0.000000 rate, 4.366019 seconds, 7936 images
125: 288.709198, 311.107178 avg, 0.000000 rate, 4.680910 seconds, 8000 images
126: 270.170044, 307.013458 avg, 0.000000 rate, 4.629987 seconds, 8064 images
127: 252.629837, 301.575104 avg, 0.000000 rate, 4.703925 seconds, 8128 images
128: 236.380981, 295.055695 avg, 0.000000 rate, 4.411921 seconds, 8192 images
129: 217.706055, 287.320740 avg, 0.000000 rate, 4.210615 seconds, 8256 images
130: 203.740814, 278.962738 avg, 0.000000 rate, 4.534990 seconds, 8320 images
131: 136.198090, 264.686279 avg, 0.000000 rate, 3.215677 seconds, 8384 images
132: 124.953568, 250.713013 avg, 0.000000 rate, 3.469577 seconds, 8448 images
133: 118.176880, 237.459396 avg, 0.000000 rate, 3.099531 seconds, 8512 images
134: 107.284920, 224.441956 avg, 0.000000 rate, 3.111376 seconds, 8576 images
135: 102.719879, 212.269745 avg, 0.000000 rate, 3.189215 seconds, 8640 images
136: 93.918739, 200.434647 avg, 0.000000 rate, 3.305840 seconds, 8704 images
137: 87.901154, 189.181305 avg, 0.000000 rate, 3.373223 seconds, 8768 images
138: 80.956779, 178.358856 avg, 0.000000 rate, 3.328536 seconds, 8832 images
139: 76.429756, 168.165939 avg, 0.000000 rate, 3.139717 seconds, 8896 images
140: 70.335846, 158.382935 avg, 0.000000 rate, 3.133062 seconds, 8960 images
141: 76.092369, 150.153885 avg, 0.000000 rate, 4.214676 seconds, 9024 images
142: 70.046249, 142.143127 avg, 0.000000 rate, 3.902112 seconds, 9088 images
143: 65.001595, 134.428970 avg, 0.000000 rate, 4.315852 seconds, 9152 images
144: 60.982407, 127.084312 avg, 0.000000 rate, 3.758796 seconds, 9216 images
145: 56.822258, 120.058105 avg, 0.000000 rate, 4.010299 seconds, 9280 images
146: 54.786419, 113.530937 avg, 0.000000 rate, 4.038547 seconds, 9344 images
147: 49.888920, 107.166733 avg, 0.000000 rate, 3.898407 seconds, 9408 images
148: 46.414349, 101.091492 avg, 0.000000 rate, 4.181936 seconds, 9472 images
149: 44.105904, 95.392929 avg, 0.000000 rate, 3.851888 seconds, 9536 images
150: 40.128757, 89.866508 avg, 0.000001 rate, 3.944017 seconds, 9600 images
151: 45.316162, 85.411476 avg, 0.000001 rate, 4.504501 seconds, 9664 images
152: 44.629028, 81.333229 avg, 0.000001 rate, 4.581872 seconds, 9728 images
153: 41.777733, 77.377678 avg, 0.000001 rate, 4.343571 seconds, 9792 images
154: 40.039017, 73.643814 avg, 0.000001 rate, 4.463922 seconds, 9856 images
155: 35.683228, 69.847755 avg, 0.000001 rate, 4.561951 seconds, 9920 images
156: 33.393066, 66.202286 avg, 0.000001 rate, 4.345631 seconds, 9984 images
157: 32.297195, 62.811775 avg, 0.000001 rate, 4.375468 seconds, 10048 images
158: 30.821705, 59.612770 avg, 0.000001 rate, 4.434601 seconds, 10112 images
159: 27.885693, 56.440063 avg, 0.000001 rate, 4.725249 seconds, 10176 images
160: 26.809025, 53.476959 avg, 0.000001 rate, 4.539001 seconds, 10240 images
161: 16.331898, 49.762451 avg, 0.000001 rate, 2.199342 seconds, 10304 images
162: 14.602068, 46.246414 avg, 0.000001 rate, 2.225418 seconds, 10368 images
163: 14.829715, 43.104744 avg, 0.000001 rate, 2.397956 seconds, 10432 images
164: 14.049834, 40.199253 avg, 0.000001 rate, 2.280188 seconds, 10496 images
165: 13.269476, 37.506275 avg, 0.000001 rate, 2.298689 seconds, 10560 images
166: 13.619627, 35.117611 avg, 0.000001 rate, 2.274811 seconds, 10624 images
167: 12.151867, 32.821037 avg, 0.000001 rate, 2.418537 seconds, 10688 images
168: 12.702080, 30.809141 avg, 0.000001 rate, 2.290541 seconds, 10752 images
169: 10.971738, 28.825401 avg, 0.000001 rate, 2.425376 seconds, 10816 images
170: 11.415112, 27.084372 avg, 0.000001 rate, 2.391736 seconds, 10880 images
171: 11.564969, 25.532431 avg, 0.000001 rate, 2.467989 seconds, 10944 images
172: 11.443962, 24.123585 avg, 0.000001 rate, 2.221470 seconds, 11008 images
173: 11.365868, 22.847813 avg, 0.000001 rate, 2.463985 seconds, 11072 images
174: 9.801524, 21.543184 avg, 0.000001 rate, 2.226249 seconds, 11136 images
175: 9.854027, 20.374269 avg, 0.000001 rate, 2.322272 seconds, 11200 images
176: 11.071554, 19.443998 avg, 0.000001 rate, 2.460387 seconds, 11264 images
177: 10.615662, 18.561165 avg, 0.000001 rate, 2.387357 seconds, 11328 images
178: 10.682279, 17.773275 avg, 0.000001 rate, 2.325149 seconds, 11392 images
179: 9.540513, 16.949999 avg, 0.000001 rate, 2.356885 seconds, 11456 images
180: 9.726031, 16.227602 avg, 0.000001 rate, 2.314782 seconds, 11520 images
181: 8.348660, 15.439708 avg, 0.000001 rate, 2.210669 seconds, 11584 images
182: 8.325504, 14.728288 avg, 0.000001 rate, 2.090029 seconds, 11648 images
183: 9.310158, 14.186475 avg, 0.000001 rate, 2.022480 seconds, 11712 images
184: 8.128679, 13.580695 avg, 0.000001 rate, 2.079702 seconds, 11776 images
185: 9.921123, 13.214738 avg, 0.000001 rate, 1.955378 seconds, 11840 images
186: 8.614635, 12.754727 avg, 0.000001 rate, 2.150898 seconds, 11904 images
187: 7.788893, 12.258144 avg, 0.000001 rate, 2.099918 seconds, 11968 images
188: 8.420644, 11.874394 avg, 0.000001 rate, 2.141377 seconds, 12032 images
189: 7.942311, 11.481186 avg, 0.000001 rate, 2.340223 seconds, 12096 images
190: 7.305055, 11.063573 avg, 0.000001 rate, 2.061526 seconds, 12160 images
191: 7.959896, 10.753205 avg, 0.000001 rate, 1.994897 seconds, 12224 images
192: 6.554286, 10.333313 avg, 0.000001 rate, 1.824251 seconds, 12288 images
193: 8.471542, 10.147136 avg, 0.000001 rate, 2.008302 seconds, 12352 images
194: 6.357978, 9.768220 avg, 0.000001 rate, 1.862031 seconds, 12416 images
195: 8.762926, 9.667690 avg, 0.000001 rate, 1.841655 seconds, 12480 images
196: 5.681769, 9.269098 avg, 0.000001 rate, 1.853406 seconds, 12544 images
197: 6.315485, 8.973737 avg, 0.000002 rate, 1.951521 seconds, 12608 images
198: 7.697639, 8.846127 avg, 0.000002 rate, 1.934147 seconds, 12672 images
199: 7.022882, 8.663802 avg, 0.000002 rate, 1.965607 seconds, 12736 images
200: 7.238060, 8.521228 avg, 0.000002 rate, 1.968246 seconds, 12800 images
201: 7.913515, 8.460457 avg, 0.000002 rate, 3.042468 seconds, 12864 images
202: 8.439177, 8.458329 avg, 0.000002 rate, 2.842357 seconds, 12928 images
203: 7.492223, 8.361718 avg, 0.000002 rate, 3.168650 seconds, 12992 images
204: 7.219927, 8.247540 avg, 0.000002 rate, 2.804823 seconds, 13056 images
205: 7.985290, 8.221314 avg, 0.000002 rate, 2.860067 seconds, 13120 images
206: 7.265671, 8.125751 avg, 0.000002 rate, 3.051099 seconds, 13184 images
207: 8.454622, 8.158638 avg, 0.000002 rate, 2.976924 seconds, 13248 images
208: 8.302733, 8.173048 avg, 0.000002 rate, 2.890627 seconds, 13312 images
209: 7.092764, 8.065020 avg, 0.000002 rate, 3.129286 seconds, 13376 images
210: 8.606375, 8.119155 avg, 0.000002 rate, 2.882248 seconds, 13440 images
211: 7.641025, 8.071342 avg, 0.000002 rate, 3.186316 seconds, 13504 images
212: 7.225934, 7.986801 avg, 0.000002 rate, 3.263508 seconds, 13568 images
213: 8.565294, 8.044650 avg, 0.000002 rate, 3.013745 seconds, 13632 images
214: 6.691825, 7.909368 avg, 0.000002 rate, 3.132222 seconds, 13696 images
215: 7.598165, 7.878247 avg, 0.000002 rate, 3.136680 seconds, 13760 images
216: 6.988333, 7.789256 avg, 0.000002 rate, 3.154369 seconds, 13824 images
217: 8.527575, 7.863088 avg, 0.000002 rate, 3.137484 seconds, 13888 images
218: 7.080205, 7.784800 avg, 0.000002 rate, 3.232880 seconds, 13952 images
219: 6.891106, 7.695431 avg, 0.000002 rate, 3.256454 seconds, 14016 images
220: 7.264219, 7.652309 avg, 0.000002 rate, 3.142223 seconds, 14080 images
221: 6.882248, 7.575303 avg, 0.000002 rate, 2.968762 seconds, 14144 images
222: 6.826057, 7.500379 avg, 0.000002 rate, 2.899599 seconds, 14208 images
223: 6.557285, 7.406069 avg, 0.000002 rate, 2.950243 seconds, 14272 images
224: 6.276624, 7.293125 avg, 0.000003 rate, 2.625193 seconds, 14336 images
225: 7.213019, 7.285114 avg, 0.000003 rate, 2.689448 seconds, 14400 images
226: 5.905279, 7.147131 avg, 0.000003 rate, 2.832775 seconds, 14464 images
227: 6.480616, 7.080480 avg, 0.000003 rate, 2.758863 seconds, 14528 images
228: 6.904235, 7.062855 avg, 0.000003 rate, 2.714992 seconds, 14592 images
229: 6.241696, 6.980740 avg, 0.000003 rate, 2.831171 seconds, 14656 images
230: 5.714825, 6.854148 avg, 0.000003 rate, 2.785044 seconds, 14720 images
231: 6.540627, 6.822796 avg, 0.000003 rate, 4.229052 seconds, 14784 images
232: 6.550895, 6.795606 avg, 0.000003 rate, 4.209213 seconds, 14848 images
233: 7.094488, 6.825494 avg, 0.000003 rate, 3.856172 seconds, 14912 images
234: 6.032306, 6.746175 avg, 0.000003 rate, 4.188249 seconds, 14976 images
235: 6.185347, 6.690093 avg, 0.000003 rate, 4.043104 seconds, 15040 images
236: 5.696559, 6.590739 avg, 0.000003 rate, 4.156371 seconds, 15104 images
237: 6.505768, 6.582242 avg, 0.000003 rate, 3.990303 seconds, 15168 images
238: 6.129662, 6.536984 avg, 0.000003 rate, 4.261181 seconds, 15232 images
239: 5.856854, 6.468971 avg, 0.000003 rate, 4.339547 seconds, 15296 images
240: 6.121836, 6.434258 avg, 0.000003 rate, 4.241842 seconds, 15360 images
241: 6.309832, 6.421815 avg, 0.000003 rate, 4.475287 seconds, 15424 images
242: 6.739526, 6.453586 avg, 0.000003 rate, 4.378825 seconds, 15488 images
243: 6.067910, 6.415019 avg, 0.000003 rate, 4.422950 seconds, 15552 images
244: 4.641286, 6.237645 avg, 0.000004 rate, 4.469850 seconds, 15616 images
245: 5.257421, 6.139623 avg, 0.000004 rate, 4.444495 seconds, 15680 images
246: 6.865179, 6.212178 avg, 0.000004 rate, 4.454506 seconds, 15744 images
247: 5.324918, 6.123452 avg, 0.000004 rate, 4.524249 seconds, 15808 images
248: 5.706426, 6.081749 avg, 0.000004 rate, 4.578826 seconds, 15872 images
249: 5.880214, 6.061596 avg, 0.000004 rate, 4.352200 seconds, 15936 images
250: 5.842031, 6.039639 avg, 0.000004 rate, 4.464486 seconds, 16000 images
251: 4.948011, 5.930477 avg, 0.000004 rate, 4.284295 seconds, 16064 images
252: 4.773013, 5.814730 avg, 0.000004 rate, 3.881673 seconds, 16128 images
253: 5.026425, 5.735899 avg, 0.000004 rate, 4.201200 seconds, 16192 images
254: 5.299305, 5.692240 avg, 0.000004 rate, 4.247290 seconds, 16256 images
255: 4.900917, 5.613108 avg, 0.000004 rate, 4.203148 seconds, 16320 images
256: 4.756310, 5.527428 avg, 0.000004 rate, 4.036566 seconds, 16384 images
257: 5.281791, 5.502864 avg, 0.000004 rate, 3.989091 seconds, 16448 images
258: 5.406829, 5.493261 avg, 0.000004 rate, 4.145855 seconds, 16512 images
259: 6.593845, 5.603319 avg, 0.000004 rate, 4.339731 seconds, 16576 images
260: 4.445057, 5.487493 avg, 0.000005 rate, 4.021815 seconds, 16640 images
261: 6.490883, 5.587832 avg, 0.000005 rate, 1.852387 seconds, 16704 images
262: 4.986261, 5.527675 avg, 0.000005 rate, 1.978652 seconds, 16768 images
263: 4.621905, 5.437098 avg, 0.000005 rate, 1.830495 seconds, 16832 images
264: 4.374249, 5.330812 avg, 0.000005 rate, 2.011901 seconds, 16896 images
265: 5.696286, 5.367360 avg, 0.000005 rate, 1.901832 seconds, 16960 images
266: 6.143740, 5.444998 avg, 0.000005 rate, 2.033102 seconds, 17024 images
267: 5.525826, 5.453081 avg, 0.000005 rate, 2.053249 seconds, 17088 images
268: 5.606496, 5.468422 avg, 0.000005 rate, 1.911516 seconds, 17152 images
269: 6.272178, 5.548798 avg, 0.000005 rate, 1.851617 seconds, 17216 images
270: 5.680542, 5.561973 avg, 0.000005 rate, 2.006019 seconds, 17280 images
271: 5.023294, 5.508105 avg, 0.000005 rate, 4.424679 seconds, 17344 images
272: 4.627802, 5.420074 avg, 0.000005 rate, 4.261940 seconds, 17408 images
273: 4.339149, 5.311982 avg, 0.000006 rate, 4.435314 seconds, 17472 images
274: 4.154603, 5.196244 avg, 0.000006 rate, 4.520477 seconds, 17536 images
275: 4.577509, 5.134370 avg, 0.000006 rate, 4.486742 seconds, 17600 images
276: 3.955829, 5.016516 avg, 0.000006 rate, 4.522488 seconds, 17664 images
277: 4.394419, 4.954307 avg, 0.000006 rate, 4.497488 seconds, 17728 images
278: 3.598745, 4.818750 avg, 0.000006 rate, 4.311495 seconds, 17792 images
279: 4.856574, 4.822533 avg, 0.000006 rate, 4.410265 seconds, 17856 images
280: 4.563114, 4.796591 avg, 0.000006 rate, 4.593290 seconds, 17920 images
281: 5.194910, 4.836423 avg, 0.000006 rate, 2.942712 seconds, 17984 images
282: 4.649788, 4.817760 avg, 0.000006 rate, 3.185538 seconds, 18048 images
283: 5.721146, 4.908098 avg, 0.000006 rate, 2.941277 seconds, 18112 images
284: 4.849471, 4.902236 avg, 0.000007 rate, 3.053961 seconds, 18176 images
285: 4.163708, 4.828383 avg, 0.000007 rate, 3.223221 seconds, 18240 images
286: 4.634084, 4.808953 avg, 0.000007 rate, 2.963599 seconds, 18304 images
287: 4.252229, 4.753281 avg, 0.000007 rate, 2.861039 seconds, 18368 images
288: 5.595021, 4.837455 avg, 0.000007 rate, 2.906515 seconds, 18432 images
289: 5.086105, 4.862320 avg, 0.000007 rate, 2.934842 seconds, 18496 images
290: 5.169494, 4.893037 avg, 0.000007 rate, 2.962586 seconds, 18560 images
291: 4.623837, 4.866117 avg, 0.000007 rate, 2.983971 seconds, 18624 images
292: 5.646057, 4.944111 avg, 0.000007 rate, 3.118073 seconds, 18688 images
293: 4.531841, 4.902884 avg, 0.000007 rate, 3.013222 seconds, 18752 images
294: 4.006819, 4.813278 avg, 0.000007 rate, 2.911261 seconds, 18816 images
295: 5.275212, 4.859471 avg, 0.000008 rate, 2.992968 seconds, 18880 images
296: 4.390400, 4.812564 avg, 0.000008 rate, 2.838571 seconds, 18944 images
297: 4.418381, 4.773146 avg, 0.000008 rate, 3.127149 seconds, 19008 images
298: 3.786678, 4.674500 avg, 0.000008 rate, 3.024412 seconds, 19072 images
299: 3.582122, 4.565262 avg, 0.000008 rate, 2.967617 seconds, 19136 images
300: 3.816916, 4.490427 avg, 0.000008 rate, 3.030396 seconds, 19200 images
301: 4.783668, 4.519752 avg, 0.000008 rate, 2.580267 seconds, 19264 images
302: 4.507317, 4.518508 avg, 0.000008 rate, 2.489568 seconds, 19328 images
303: 4.462619, 4.512919 avg, 0.000008 rate, 2.950713 seconds, 19392 images
304: 4.987018, 4.560329 avg, 0.000009 rate, 2.482887 seconds, 19456 images
305: 3.602345, 4.464530 avg, 0.000009 rate, 2.624401 seconds, 19520 images
306: 5.809337, 4.599011 avg, 0.000009 rate, 2.519665 seconds, 19584 images
307: 4.090201, 4.548130 avg, 0.000009 rate, 2.515846 seconds, 19648 images
308: 3.349445, 4.428262 avg, 0.000009 rate, 2.524517 seconds, 19712 images
309: 3.786103, 4.364046 avg, 0.000009 rate, 2.570494 seconds, 19776 images
310: 4.577139, 4.385355 avg, 0.000009 rate, 2.553391 seconds, 19840 images
311: 3.713366, 4.318156 avg, 0.000009 rate, 4.199600 seconds, 19904 images
312: 3.988652, 4.285206 avg, 0.000009 rate, 4.189724 seconds, 19968 images
313: 3.471086, 4.203794 avg, 0.000010 rate, 4.168714 seconds, 20032 images
314: 4.427429, 4.226158 avg, 0.000010 rate, 4.147786 seconds, 20096 images
315: 3.936062, 4.197148 avg, 0.000010 rate, 4.194338 seconds, 20160 images
316: 2.997272, 4.077160 avg, 0.000010 rate, 3.982027 seconds, 20224 images
317: 3.456069, 4.015051 avg, 0.000010 rate, 4.177663 seconds, 20288 images
